Generation;Fitness
[1]; 7,89834
[2]; 0,46921
[3]; 0,29326
[4]; 0,29326
[5]; 0,17595
[6]; 0,0782
[7]; 0,05865
[8]; 0,05865
[9]; 0,05865
[10]; 0,05865
[11]; 0,05865
[12]; 0,05865
[13]; 0,05865
[14]; 0,05865
[15]; 0
[16]; 0
[17]; 0
[18]; 0
[19]; 0
[20]; 0
[21]; 0
[22]; 0
[23]; 0
[24]; 0
[25]; 0
[26]; 0
[27]; 0
[28]; 0
[29]; 0
[30]; 0
[31]; 0
[32]; 0
[33]; 0
[34]; 0
[35]; 0
[36]; 0
[37]; 0
[38]; 0
[39]; 0
[40]; 0
[41]; 0
[42]; 0
[43]; 0
[44]; 0
[45]; 0
[46]; 0
[47]; 0
[48]; 0
[49]; 0
[50]; 0
[51]; 0
