Generation;Fitness
[1]; 36,12317
[2]; 12,74781
[3]; 7,02911
[4]; 2,77492
[5]; 1,21152
[6]; 0,61869
[7]; 0,39796
[8]; 0,27965
[9]; 0,23024
[10]; 0,16436
[11]; 0,15147
[12]; 0,15769
[13]; 0,1484
[14]; 0,12833
[15]; 0,12286
[16]; 0,12549
[17]; 0,13404
[18]; 0,13242
[19]; 0,12893
[20]; 0,13449
[21]; 0,13485
[22]; 0,12605
[23]; 0,10989
[24]; 0,10549
[25]; 0,1082
[26]; 0,09892
[27]; 0,0897
[28]; 0,08866
[29]; 0,09609
[30]; 0,1064
[31]; 0,10174
[32]; 0,09037
[33]; 0,10489
[34]; 0,10935
[35]; 0,10527
[36]; 0,11123
[37]; 0,1093
[38]; 0,09321
[39]; 0,09226
[40]; 0,09207
[41]; 0,10546
[42]; 0,09371
[43]; 0,10727
[44]; 0,10379
[45]; 0,10472
[46]; 0,10085
[47]; 0,10472
[48]; 0,09429
[49]; 0,10991
[50]; 0,10578
[51]; 0,09944
