Generation;Fitness
[1]; 2,23029
[2]; 2,22297
[3]; 0,95401
[4]; 0,51271
[5]; 0,50172
[6]; 0,13245
[7]; 0,13184
[8]; 0,07019
[9]; 0,04578
[10]; 0,02014
[11]; 0,00427
[12]; 0,00244
[13]; 0,00183
[14]; 0,00183
[15]; 0,00183
[16]; 0,00183
[17]; 0
[18]; 0
[19]; 0
[20]; 0
[21]; 0
[22]; 0
[23]; 0
[24]; 0
[25]; 0
[26]; 0
[27]; 0
[28]; 0
[29]; 0
[30]; 0
[31]; 0
[32]; 0
[33]; 0
[34]; 0
[35]; 0
[36]; 0
[37]; 0
[38]; 0
[39]; 0
[40]; 0
[41]; 0
[42]; 0
[43]; 0
[44]; 0
[45]; 0
[46]; 0
[47]; 0
[48]; 0
[49]; 0
[50]; 0
[51]; 0
