Gen1;Gen2;Gen3;Wert
2,078; 2,078; 2,078;0
2,130; 2,130; 2,130;0
2,133; 2,133; 2,133;0
2,131; 2,131; 2,131;0
2,132; 2,132; 2,132;0
2,132; 2,132; 2,132;0
2,130; 2,130; 2,130;0
2,129; 2,129; 2,129;0
2,134; 2,134; 2,134;0
1,781; 1,781; 1,781;0
1,781; 1,781; 1,781;0
4,241; 4,241; 4,241;0
4,239; 4,239; 4,239;0
1,780; 1,780; 1,780;0
2,131; 2,130; 2,130;0,00183
2,130; 2,130; 2,130;0,00183
2,132; 2,132; 2,132;0,00183
2,132; 2,132; 2,133;0,00183
2,132; 2,132; 2,132;0,00183
2,130; 2,131; 2,131;0,00183
