Gen1;Gen2;Gen3;Wert
-0,909; -0,909; -0,909;0
2,043; 2,043; 2,043;0
2,082; 2,082; 2,082;0
2,121; 2,121; 2,121;0
2,160; 2,160; 2,160;0
2,063; 2,063; 2,063;0
2,141; 2,141; 2,141;0
2,063; 2,082; 2,082;0,05865
-8,514; -8,495; -8,495;0,05865
-0,909; -0,929; -0,929;0,05865
2,063; 2,063; 2,082;0,05865
2,063; 2,063; 2,043;0,05865
2,102; 2,102; 2,121;0,05865
2,063; 2,043; 2,043;0,05865
2,141; 2,160; 2,160;0,05865
2,102; 2,102; 2,082;0,05865
2,102; 2,082; 2,082;0,05865
-0,909; -0,909; -0,929;0,05865
2,141; 2,141; 2,121;0,05865
2,180; 2,160; 2,160;0,05865
