Gen1;Gen2;Gen3;Wert
-1,632; -1,632; -1,632;0
-1,634; -1,634; -1,634;0
-1,633; -1,633; -1,633;0
-1,690; -1,690; -1,690;0
-1,632; -1,632; -1,632;0
-1,631; -1,631; -1,631;0
-1,634; -1,634; -1,634;0
-1,692; -1,692; -1,692;0
-1,770; -1,770; -1,770;0
-4,477; -4,477; -4,477;0
-1,635; -1,635; -1,635;0
6,461; 6,461; 6,461;0
-1,809; -1,809; -1,809;0
-1,635; -1,635; -1,635;0
-1,632; -1,632; -1,632;0,00183
-1,631; -1,632; -1,632;0,00183
-1,632; -1,632; -1,632;0,00183
-1,632; -1,633; -1,633;0,00183
-1,631; -1,631; -1,631;0,00183
-1,632; -1,632; -1,633;0,00183
