Generation;Fitness
[1]; 34,25943
[2]; 10,65647
[3]; 5,08683
[4]; 2,99037
[5]; 1,65562
[6]; 0,99137
[7]; 0,64283
[8]; 0,45918
[9]; 0,33111
[10]; 0,2335
[11]; 0,15678
[12]; 0,13028
[13]; 0,10383
[14]; 0,09187
[15]; 0,08747
[16]; 0,07359
[17]; 0,08592
[18]; 0,07068
[19]; 0,06797
[20]; 0,07076
[21]; 0,07268
[22]; 0,07207
[23]; 0,07989
[24]; 0,07436
[25]; 0,07095
[26]; 0,07433
[27]; 0,06651
[28]; 0,06758
[29]; 0,07282
[30]; 0,06043
[31]; 0,06891
[32]; 0,07002
[33]; 0,07336
[34]; 0,0782
[35]; 0,07603
[36]; 0,06326
[37]; 0,07702
[38]; 0,06502
[39]; 0,06524
[40]; 0,07767
[41]; 0,06033
[42]; 0,06456
[43]; 0,07561
[44]; 0,07458
[45]; 0,07541
[46]; 0,06252
[47]; 0,06669
[48]; 0,06863
[49]; 0,06256
[50]; 0,07192
[51]; 0,07461
