Generation;Fitness
[1]; 9702,07507
[2]; 8022,306
[3]; 7630,52575
[4]; 5760,95535
[5]; 4577,96451
[6]; 2772,5883
[7]; 2540,83025
[8]; 2535,45424
[9]; 1848,70317
[10]; 1225,4459
[11]; 1224,16211
[12]; 1097,61609
[13]; 1087,05067
[14]; 923,86121
[15]; 760,05794
[16]; 747,08333
[17]; 487,43082
[18]; 482,41667
[19]; 439,71484
[20]; 434,61675
[21]; 418,24444
[22]; 404,48243
[23]; 388,88819
[24]; 340,30086
[25]; 290,19098
[26]; 240,40761
[27]; 239,00916
[28]; 238,8124
[29]; 180,13527
[30]; 172,60571
[31]; 159,04068
[32]; 154,79776
[33]; 149,07661
[34]; 143,51281
[35]; 139,26089
[36]; 137,8911
[37]; 130,74641
[38]; 129,76264
[39]; 128,93545
[40]; 124,87263
[41]; 91,36312
[42]; 86,29839
[43]; 67,70856
[44]; 65,97956
[45]; 60,52518
[46]; 60,52518
[47]; 49,65774
[48]; 49,16451
[49]; 45,51239
[50]; 42,54915
[51]; 37,04543
