Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
60,614; 60,645; 63,455; 62,831; 62,924; 63,580; 63,205; 63,424; 63,549; 63,330; 63,486; 63,486;37,04543
59,865; 60,645; 63,455; 62,831; 62,862; 63,580; 63,205; 63,361; 63,518; 63,424; 63,486; 63,486;41,16792
59,865; 60,645; 63,455; 62,831; 62,924; 63,580; 63,205; 63,361; 63,518; 63,330; 63,486; 63,486;41,31473
59,865; 60,645; 63,455; 62,831; 62,893; 63,580; 63,205; 63,424; 63,518; 63,424; 63,549; 63,549;41,38484
59,865; 60,645; 63,455; 62,831; 62,893; 63,580; 63,205; 63,361; 63,518; 63,393; 63,486; 63,549;41,4585
59,865; 60,645; 63,455; 62,831; 62,893; 63,580; 63,205; 63,361; 63,549; 63,424; 63,549; 63,486;41,63204
60,114; 60,645; 63,455; 62,831; 62,893; 63,580; 62,706; 63,424; 63,455; 63,393; 63,518; 63,486;42,31895
59,615; 60,645; 63,455; 62,831; 62,924; 63,580; 63,205; 63,424; 63,518; 63,424; 63,455; 63,486;42,34369
59,615; 60,645; 63,455; 62,831; 62,924; 63,580; 63,205; 63,361; 63,455; 63,330; 63,455; 63,486;42,34674
59,615; 60,645; 63,455; 62,831; 62,893; 63,580; 63,205; 63,424; 63,518; 63,424; 63,455; 63,486;42,43794
59,615; 60,645; 63,455; 62,831; 62,924; 63,580; 63,205; 63,361; 63,518; 63,424; 63,455; 63,486;42,45489
59,615; 60,645; 63,455; 62,831; 62,924; 63,580; 63,205; 63,361; 63,518; 63,424; 63,486; 63,486;42,48792
59,615; 60,645; 63,455; 62,831; 62,924; 63,580; 63,205; 63,424; 63,518; 63,393; 63,455; 63,486;42,49709
59,615; 60,645; 63,455; 62,831; 62,924; 63,580; 63,205; 63,424; 63,518; 63,393; 63,486; 63,486;42,53012
59,615; 60,645; 63,455; 62,831; 62,862; 63,580; 63,205; 63,424; 63,518; 63,424; 63,455; 63,486;42,5322
59,615; 60,645; 63,455; 62,831; 62,924; 63,580; 63,205; 63,424; 63,518; 63,424; 63,518; 63,486;42,53463
59,615; 60,645; 63,455; 62,831; 62,924; 63,580; 63,205; 63,361; 63,518; 63,393; 63,455; 63,486;42,54585
59,615; 60,645; 63,455; 62,831; 62,893; 63,580; 63,205; 63,361; 63,518; 63,424; 63,455; 63,486;42,54915
59,615; 60,645; 63,455; 62,831; 62,924; 63,580; 63,205; 63,361; 63,518; 63,393; 63,486; 63,486;42,57888
59,615; 60,645; 63,455; 62,831; 62,893; 63,580; 63,205; 63,361; 63,518; 63,424; 63,486; 63,486;42,58218
