Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
-304,946; -304,540; -304,634; -303,978; -311,065; -311,159; -312,814; -312,751; -313,188; -313,500; -313,313; -313,594;136,49087
-304,946; -304,540; -304,634; -304,009; -311,065; -311,159; -312,814; -312,751; -312,064; -313,500; -313,313; -313,407;137,52031
-304,946; -304,540; -304,634; -304,009; -311,065; -313,219; -312,751; -313,001; -313,188; -313,500; -313,563; -313,219;137,7429
-304,946; -304,540; -304,634; -304,009; -311,065; -313,219; -312,751; -312,751; -312,064; -313,251; -312,345; -312,595;137,82752
-304,946; -304,540; -304,634; -303,916; -311,065; -313,219; -312,814; -312,720; -313,063; -313,001; -313,313; -313,657;137,84361
-304,946; -304,540; -304,634; -304,009; -311,065; -311,159; -312,814; -312,751; -312,064; -313,594; -313,313; -313,095;137,94417
-304,946; -304,540; -304,634; -303,916; -311,065; -311,159; -312,814; -313,001; -313,188; -313,625; -313,313; -313,594;137,95788
-304,946; -304,540; -304,634; -303,916; -311,065; -312,720; -312,751; -312,751; -312,064; -313,500; -313,344; -313,032;138,06213
-304,946; -304,540; -304,634; -304,009; -311,065; -311,159; -312,814; -312,751; -312,127; -313,500; -313,313; -313,594;138,20018
-304,946; -304,540; -304,634; -304,009; -311,065; -311,159; -312,814; -312,751; -312,064; -313,500; -313,313; -313,594;138,46437
-304,946; -304,540; -304,634; -303,916; -311,065; -313,219; -312,814; -313,001; -313,063; -313,469; -312,564; -313,095;138,49511
-304,946; -304,540; -304,634; -303,916; -311,065; -313,219; -313,313; -312,720; -313,188; -313,500; -313,282; -313,219;138,58006
-304,946; -304,540; -304,634; -304,009; -311,065; -313,219; -312,751; -312,751; -312,064; -313,251; -313,344; -313,032;138,85605
-304,946; -304,540; -304,634; -303,916; -311,065; -312,720; -312,751; -312,876; -312,064; -313,500; -313,313; -312,595;139,04021
-304,946; -304,540; -304,634; -304,009; -311,065; -313,251; -312,814; -312,720; -313,188; -313,625; -312,814; -313,219;139,06675
-305,196; -304,540; -304,634; -303,978; -311,065; -311,159; -312,814; -312,751; -312,064; -313,500; -313,313; -313,594;139,07164
-304,946; -304,540; -304,634; -304,009; -311,065; -313,219; -312,751; -312,876; -312,064; -313,251; -313,313; -312,595;139,66762
-304,447; -304,540; -304,634; -303,916; -307,256; -309,223; -312,814; -312,876; -312,064; -313,251; -312,314; -312,595;139,78459
-312,439; -312,533; -304,634; -304,009; -310,972; -311,159; -312,814; -312,751; -312,189; -313,688; -313,438; -313,219;139,91971
-304,946; -304,540; -304,634; -303,916; -311,065; -313,219; -312,814; -312,751; -312,064; -313,251; -313,313; -312,658;140,06237
