Generation;Fitness
[1]; 17145,98355
[2]; 13241,30423
[3]; 10561,81741
[4]; 8525,21833
[5]; 6952,82604
[6]; 5524,27771
[7]; 4095,04458
[8]; 3110,51662
[9]; 2557,4657
[10]; 2184,6148
[11]; 1797,03775
[12]; 1445,74728
[13]; 1239,2193
[14]; 1091,52289
[15]; 993,96626
[16]; 879,2959
[17]; 745,23832
[18]; 639,6288
[19]; 514,41259
[20]; 477,55472
[21]; 439,91708
[22]; 431,06149
[23]; 417,11242
[24]; 401,19192
[25]; 374,93167
[26]; 328,02646
[27]; 291,6008
[28]; 250,58114
[29]; 242,04525
[30]; 229,16229
[31]; 181,63149
[32]; 165,90484
[33]; 157,9103
[34]; 152,13193
[35]; 143,77327
[36]; 140,33592
[37]; 138,44841
[38]; 135,26358
[39]; 131,92055
[40]; 129,41886
[41]; 127,60258
[42]; 120,49588
[43]; 89,82037
[44]; 73,25354
[45]; 65,9158
[46]; 61,43491
[47]; 60,79442
[48]; 59,06313
[49]; 52,29712
[50]; 45,84194
[51]; 42,75146
