Generation;Fitness
[1]; 9702,07507
[2]; 9373,10389
[3]; 7268,37808
[4]; 5798,64874
[5]; 5695,75927
[6]; 4543,06778
[7]; 3801,42317
[8]; 3576,60646
[9]; 2926,09632
[10]; 2568,85587
[11]; 2357,70999
[12]; 1919,92702
[13]; 1606,86087
[14]; 1291,86788
[15]; 1193,32003
[16]; 1016,33287
[17]; 881,74957
[18]; 800,66928
[19]; 762,21775
[20]; 542,98662
[21]; 406,43664
[22]; 365,35379
[23]; 345,18983
[24]; 236,73457
[25]; 192,10917
[26]; 150,27414
[27]; 150,27414
[28]; 150,27414
[29]; 131,34352
[30]; 124,61811
[31]; 106,58411
[32]; 100,12763
[33]; 90,72299
[34]; 72,14704
[35]; 70,07987
[36]; 59,69278
[37]; 60,22144
[38]; 55,81117
[39]; 50,22311
[40]; 47,77346
[41]; 46,60248
[42]; 46,08782
[43]; 43,34779
[44]; 42,68446
[45]; 40,99787
[46]; 40,46051
[47]; 39,11252
[48]; 38,84574
[49]; 38,15589
[50]; 35,9267
[51]; 34,55042
