Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
64,454; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,864; 60,864; 60,833; 63,580;608,71802
64,485; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,864; 60,864; 60,833; 63,580;608,78795
64,454; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,864; 60,926; 60,833; 63,580;608,88507
64,454; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,989; 60,989; 60,833; 63,580;608,91446
64,454; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,864; 60,801; 60,833; 63,580;608,92561
64,454; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,864; 60,864; 60,833; 63,642;608,94241
64,485; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,989; 60,989; 60,833; 63,580;608,98439
64,454; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,989; 60,926; 60,833; 63,580;608,99717
64,485; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,864; 60,864; 60,833; 63,642;609,01233
64,454; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,864; 60,989; 60,833; 63,580;609,05213
64,485; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,989; 60,926; 60,833; 63,580;609,0671
64,454; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,989; 60,864; 60,833; 63,580;609,07988
64,454; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,989; 61,051; 60,833; 63,580;609,08152
64,454; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,864; 60,926; 60,833; 63,642;609,10946
64,454; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 61,114; 61,114; 60,833; 63,580;609,1109
64,454; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,989; 60,989; 60,833; 63,642;609,13885
64,610; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,864; 60,864; 60,833; 63,580;609,14258
64,454; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,864; 60,801; 60,833; 63,642;609,15
64,485; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,864; 60,926; 60,833; 63,642;609,17939
64,485; 64,423; 66,546; 63,268; 67,826; 64,517; 55,307; 11,411; 60,989; 60,989; 60,833; 63,642;609,20877
