Generation;Fitness
[1]; 17145,98355
[2]; 12737,30777
[3]; 9938,76043
[4]; 7984,48
[5]; 6462,991
[6]; 5071,59219
[7]; 3861,20228
[8]; 2976,50832
[9]; 2524,04046
[10]; 2171,91185
[11]; 1860,82736
[12]; 1529,71133
[13]; 1373,75105
[14]; 1243,10723
[15]; 1136,55405
[16]; 1065,44037
[17]; 1032,9319
[18]; 1007,3625
[19]; 985,26115
[20]; 961,59067
[21]; 900,7995
[22]; 767,18052
[23]; 752,1782
[24]; 734,75752
[25]; 706,19785
[26]; 637,66393
[27]; 371,44422
[28]; 347,47279
[29]; 330,93
[30]; 301,23356
[31]; 268,05501
[32]; 250,35373
[33]; 238,44329
[34]; 227,34638
[35]; 214,20832
[36]; 202,32326
[37]; 184,42171
[38]; 165,97921
[39]; 146,57403
[40]; 122,20294
[41]; 106,64578
[42]; 101,78708
[43]; 94,39148
[44]; 82,57985
[45]; 79,5942
[46]; 75,0493
[47]; 70,88744
[48]; 66,96814
[49]; 61,5049
[50]; 56,02395
[51]; 51,84306
