Generation;Fitness
[1]; 9702,07507
[2]; 8572,22854
[3]; 6565,52666
[4]; 5052,9559
[5]; 4838,4321
[6]; 2393,21947
[7]; 2393,21947
[8]; 2021,63368
[9]; 1922,38734
[10]; 1440,30234
[11]; 1370,97807
[12]; 1188,79271
[13]; 1047,07047
[14]; 1047,07047
[15]; 1020,16395
[16]; 1013,07422
[17]; 1006,78458
[18]; 982,40826
[19]; 787,46496
[20]; 773,82094
[21]; 762,14805
[22]; 742,17845
[23]; 738,58289
[24]; 382,18752
[25]; 367,53354
[26]; 338,41642
[27]; 311,44543
[28]; 282,85419
[29]; 278,64989
[30]; 255,62104
[31]; 236,32529
[32]; 234,68423
[33]; 217,58615
[34]; 198,23815
[35]; 171,5813
[36]; 170,36154
[37]; 139,06901
[38]; 109,12824
[39]; 103,53949
[40]; 83,98211
[41]; 83,47644
[42]; 82,03309
[43]; 76,65611
[44]; 71,54805
[45]; 68,49866
[46]; 60,71972
[47]; 57,36783
[48]; 52,20063
[49]; 52,20063
[50]; 43,3764
