Generation;Fitness
[1]; 9702,07507
[2]; 9702,07507
[3]; 5670,32991
[4]; 5670,32991
[5]; 4932,39821
[6]; 3012,30602
[7]; 3012,30602
[8]; 2875,72784
[9]; 2385,24506
[10]; 2385,24506
[11]; 1878,70037
[12]; 1612,65341
[13]; 1413,33851
[14]; 1227,57278
[15]; 1027,80104
[16]; 981,33642
[17]; 979,26958
[18]; 803,65831
[19]; 773,96181
[20]; 704,86774
[21]; 585,003
[22]; 535,03207
[23]; 509,77796
[24]; 409,5605
[25]; 398,785
[26]; 388,81626
[27]; 362,97447
[28]; 349,92307
[29]; 346,00867
[30]; 333,48786
[31]; 322,90968
[32]; 299,94337
[33]; 293,93527
[34]; 282,72307
[35]; 264,63744
[36]; 250,3976
[37]; 248,29638
[38]; 243,22548
[39]; 239,60578
[40]; 196,29383
[41]; 196,29383
[42]; 183,21677
[43]; 183,21677
[44]; 181,01746
[45]; 175,88273
[46]; 173,00149
[47]; 165,18385
[48]; 150,31129
[49]; 150,31129
[50]; 148,03701
[51]; 140,37289
