Gen1;Gen2;Gen3;Gen4;Gen5;Gen6;Gen7;Gen8;Gen9;Gen10;Gen11;Gen12;Wert
-256,867; -256,929; -255,274; -257,991; -256,679; -257,179; -254,088; -253,526; -253,651; -248,250; -248,531; -248,062;140,37289
-256,867; -256,929; -255,274; -256,991; -256,554; -257,179; -254,119; -253,526; -247,657; -248,250; -248,531; -248,125;146,23896
-256,867; -256,929; -255,274; -256,991; -256,554; -257,179; -254,119; -253,526; -247,657; -248,250; -248,531; -248,062;146,53283
-256,867; -256,929; -255,274; -256,991; -256,554; -257,179; -254,119; -253,526; -247,657; -248,125; -248,531; -248,125;146,57089
-256,867; -256,929; -255,274; -256,991; -256,554; -257,179; -254,119; -253,526; -247,657; -248,125; -248,593; -248,125;146,70464
-256,867; -256,929; -255,274; -256,991; -256,554; -257,179; -254,119; -249,530; -251,903; -248,250; -248,531; -248,250;146,7912
-256,867; -256,929; -255,274; -256,991; -256,554; -257,179; -253,838; -253,526; -247,657; -248,125; -248,531; -248,062;146,95842
-256,867; -256,929; -255,274; -256,991; -256,679; -257,179; -254,119; -253,526; -247,657; -248,000; -248,531; -248,062;147,19907
-256,617; -256,929; -255,274; -256,991; -256,554; -257,179; -254,119; -253,526; -247,657; -247,875; -248,531; -248,250;147,41966
-256,867; -256,929; -255,274; -256,991; -256,679; -257,179; -254,119; -253,526; -247,657; -247,875; -248,531; -248,125;147,61177
-256,867; -256,929; -255,274; -256,991; -256,554; -257,179; -253,869; -253,526; -247,657; -247,875; -248,406; -248,062;147,71901
-256,867; -256,929; -255,274; -256,991; -256,679; -257,241; -254,088; -253,526; -247,657; -248,000; -248,531; -248,062;147,80058
-256,867; -256,929; -255,274; -256,991; -256,554; -257,179; -253,838; -253,526; -247,657; -248,250; -248,531; -247,813;147,80198
-256,867; -256,929; -255,274; -256,991; -256,679; -257,179; -254,119; -253,526; -247,657; -247,875; -248,593; -248,062;147,91451
-256,867; -256,929; -255,274; -256,991; -256,554; -257,179; -254,119; -253,526; -247,657; -247,875; -248,593; -248,062;148,03701
-256,617; -256,929; -255,274; -256,991; -256,679; -257,241; -254,119; -253,526; -247,657; -247,875; -248,593; -248,187;148,25345
-256,867; -256,929; -255,274; -256,991; -256,554; -257,179; -254,119; -253,526; -247,657; -247,750; -248,531; -248,062;148,48495
-256,867; -256,929; -255,274; -256,991; -256,554; -257,241; -254,119; -253,526; -247,657; -247,750; -248,531; -248,125;148,90707
-256,867; -256,929; -255,274; -256,991; -256,554; -257,179; -254,119; -249,530; -247,657; -248,250; -248,531; -248,250;149,72355
-256,867; -256,929; -255,274; -256,991; -256,554; -257,179; -253,838; -249,530; -247,657; -248,250; -248,531; -248,250;149,81721
