Generation;Fitness
[1]; 17145,98355
[2]; 13067,88647
[3]; 10726,59565
[4]; 8922,11747
[5]; 7438,60664
[6]; 5966,9288
[7]; 4935,89269
[8]; 3749,7588
[9]; 3071,90693
[10]; 2802,29056
[11]; 2509,03127
[12]; 2192,35785
[13]; 1770,77526
[14]; 1564,40102
[15]; 1412,42918
[16]; 1270,00171
[17]; 1101,52905
[18]; 993,60452
[19]; 932,6399
[20]; 811,21594
[21]; 751,34799
[22]; 692,10328
[23]; 616,61846
[24]; 539,05943
[25]; 463,40975
[26]; 420,8585
[27]; 399,27768
[28]; 385,69937
[29]; 369,07305
[30]; 353,48504
[31]; 341,58255
[32]; 327,70437
[33]; 319,35347
[34]; 305,81733
[35]; 293,19243
[36]; 281,74817
[37]; 264,9456
[38]; 253,58031
[39]; 249,06113
[40]; 245,31816
[41]; 232,62366
[42]; 208,63695
[43]; 198,39334
[44]; 191,36063
[45]; 182,7288
[46]; 179,80822
[47]; 175,3975
[48]; 170,46099
[49]; 165,01422
[50]; 158,11834
[51]; 150,57508
