Generation;Fitness
[1]; 10598,86645
[2]; 8347,02403
[3]; 6957,18398
[4]; 6332,37944
[5]; 5525,71869
[6]; 4495,63391
[7]; 3710,64069
[8]; 3385,90462
[9]; 2610,00505
[10]; 1946,49553
[11]; 1946,49553
[12]; 1474,5026
[13]; 1378,0171
[14]; 1090,479
[15]; 1090,479
[16]; 1007,45952
[17]; 916,37316
[18]; 858,11385
[19]; 791,41169
[20]; 657,97475
[21]; 613,2303
[22]; 613,2303
[23]; 580,24762
[24]; 534,16032
[25]; 480,83824
[26]; 469,24762
[27]; 465,65635
[28]; 449,40375
[29]; 420,69012
[30]; 416,25837
[31]; 384,18694
[32]; 379,81313
[33]; 376,03932
[34]; 376,03932
[35]; 371,83983
[36]; 366,56443
[37]; 358,19062
[38]; 353,82951
[39]; 350,72713
[40]; 322,09538
[41]; 320,05563
[42]; 320,05563
[43]; 320,05563
[44]; 317,2842
[45]; 316,99365
[46]; 316,99365
[47]; 316,99365
[48]; 311,90714
[49]; 311,90714
[50]; 311,90714
